algo,feat_set,pa_method,rep,fold,k_effective,auc_roc,pr_auc,tss,tss_thr,thr_source,sensitivity,specificity,brier,cal_slope,cal_int,n_pres,n_bg,n_feat_vif,selected,pa_ratio,n_pa_actual,n_pres_tr,n_pres_dropped,n_eval_bg,inner_threshold,hp_str
RF,M_S,uncertainty_zone,4,2,3,0.7039423076923077,0.39370366390582195,0.4215384615005586,0.8125,inner_oof,0.4615,0.96,0.3085784317093217,1.3944,-4.34,13,400,5,"bio04,bio10,bio12,bio15,bio17",1:1,25,25,0,400,0.8125,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SA,random,4,2,3,0.9188461538461539,0.3054310901115729,0.7280769230039046,0.48,inner_oof,0.9231,0.805,0.11673365617433414,1.4866,-3.325,13,400,7,"bio04,bio10,bio12,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:3,75,25,0,400,0.48,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": 10}"
RF,M_SA,spatial_constrained,4,2,3,0.9240384615384616,0.3675586094490912,0.07692307691465983,0.87,inner_oof,0.0769,1.0,0.1039546408393866,1.643,-3.1173,13,400,7,"bio04,bio10,bio12,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:3,75,25,0,400,0.87,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": null}"
RF,M_SA,two_step,4,2,3,0.9114423076923077,0.3588616381064564,0.5673076922522504,0.8333,inner_oof,0.6923,0.875,0.19711824051654558,0.6195,-4.1576,13,400,7,"bio04,bio10,bio12,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:3,75,25,0,400,0.8333,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": null}"
RF,M_SA,uncertainty_zone,4,2,3,0.7721153846153846,0.4946341099660854,0.49846153841771823,0.65,inner_oof,0.5385,0.96,0.130609200968523,1.6,-3.0403,13,400,7,"bio04,bio10,bio12,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:5,125,25,0,400,0.65,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 10}"
RF,M_SP,random,4,2,3,0.8928846153846154,0.2730506561314623,0.7324999999212456,0.31,inner_oof,1.0,0.7325,0.09162621065375305,1.1,-2.703,13,400,8,"bio04,bio10,bio12,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density",1:5,125,25,0,400,0.31,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 10}"
RF,M_SP,spatial_constrained,4,2,3,0.9111538461538461,0.31565380233486007,0.6286538460868012,0.48,inner_oof,0.8462,0.7825,0.10879564164648911,1.252,-3.0829,13,400,8,"bio04,bio10,bio12,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density",1:5,125,25,0,400,0.48,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 10}"
RF,M_SP,two_step,4,2,3,0.9021153846153847,0.25359170348178633,0.719999999921277,0.54,inner_oof,1.0,0.72,0.16703728813559324,0.9076,-3.6206,13,400,8,"bio04,bio10,bio12,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density",1:5,125,25,0,400,0.54,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 10}"
RF,M_SP,uncertainty_zone,4,2,3,0.8819230769230769,0.4356987923289897,0.5798076922522193,0.6603,inner_oof,0.6923,0.8875,0.23197908072508544,1.9708,-4.1825,13,400,8,"bio04,bio10,bio12,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density",1:1,25,25,0,400,0.6603,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.7, ""max_depth"": 10}"
RF,M_SAP,random,4,2,3,0.8898076923076923,0.4091153206818517,0.7005769230039736,0.28,inner_oof,0.9231,0.7775,0.0805102232983589,0.9845,-2.5145,13,400,10,"bio04,bio10,bio12,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.28,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": null}"
